5CA15A6B,Improvement of data visualization based on ISOMAP,2005,2005-11-14 00:00:00,10.1007/11579427_54,mexican international conference on artificia,,42D7146F,19408
80CD4B38,A prediction scheme with genetic neural network and Isomap algorithm for tropical cyclone intensity change over western North Pacific,2013,2013-05-14 00:00:00,10.1007/s00703-013-0263-7,Meteorology and Atmospheric Physics,006A4B65,,19529
80C3CE15,A Distributed Hierarchical Graph Neuron-Based Classifier: An Efficient, Low-Computational Classifier,2008,0000-00-00 00:00:00,10.1109/ICINIS.2008.161,,,,19348
588F8575,Toward lightweight detection and visualization for denial of service attacks,2006,2006-11-13 00:00:00,10.1007/11925231_60,mexican international conference on artificia,,42D7146F,19341
7E09AEE3,A Hybrid Approach for Real-Time Network Intrusion Detection Systems,2007,0000-00-00 00:00:00,10.1109/CIS.2007.10,computational intelligence and security,,45E5BC3F,19405
75F64296,Child selection of learning methods: a corpus based on real-world data,2009,2009-11-05 00:00:00,,,,,19370
7FC42A11,Totalrecall: visualization and semi-automatic annotation of very large audio-visual corpora,2007,2007-11-12 00:00:00,10.1145/1322192.1322229,international conference on multimodal interf,,4372B502,18880
793CDBEB,Evaluating video visualizations of human behavior,2011,2011-05-07 00:00:00,,human factors in computing systems,,4558D729,19460
7FF7CC8E,Probabilistic grammar induction from sentences and structured meanings,2012,2012-06-25 00:00:00,,,,,19528
07288E2D,A Framework for Review, Annotation, and Classification of Continuous Video in Context,2009,2009-05-22 00:00:00,10.1007/978-3-642-02115-2_28,smart graphics,,45F99B30,19468
5E196AE2,Language Modeling for limited-data domains,2009,0000-00-00 00:00:00,,,,,19381
7F392D1B,New horizons in the study of child language acquisition,2009,0000-00-00 00:00:00,,,,,19001
59E585CA,Displaying Estimated Social Interest in Time-based Media,2011,2011-02-17 00:00:00,,,,,19354
80288FC4,An immersive system for browsing and visualizing surveillance video,2010,2010-10-25 00:00:00,,acm multimedia,,43AA5802,19167
80D511E0,A portable audio/video recorder for longitudinal study of child development,2012,2012-10-22 00:00:00,10.1145/2388676.2388715,international conference on multimodal interf,,4372B502,19496
705DB69B,CorpVis: an Online Emotional Speech Corpora Visualisation Interface,2009,2009-12-02 00:00:00,10.1007/978-3-642-10543-2_18,semantics and digital media technologies,,453C1DA9,19271
49D972C7,VizKid: A Behavior Capture and Visualization System of Adult-Child Interaction,2011,2011-07-09 00:00:00,10.1007/978-3-642-21669-5_23,,,,19476
7EED77B1,User perception of interruptions in multimedia annotation tasks,2010,2010-10-16 00:00:00,10.1145/1868914.1868988,nordic conference on human-computer interacti,,4439490E,19442
75D9AA10,Gesture Heatmaps: Understanding Gesture Performance with Colorful Visualizations,2014,2014-11-12 00:00:00,,international conference on multimodal interf,,4372B502,19438
7C004B2D,Understanding Users' Perceived Difficulty of Multi-Touch Gesture Articulation,2014,2014-11-12 00:00:00,10.1145/2663204.2663273,international conference on multimodal interf,,4372B502,19382
77249A0F,Exploring Visually Impaired People's Gesture Preferences for Smartphones,2015,2015-09-28 00:00:00,,,,,19515
7C8A1450,IRYS: a visualization tool for temporal analysis of multimodal interaction,2003,2003-11-05 00:00:00,,international conference on multimodal interf,,4372B502,19468
790E7899,A framework for multimodal data collection, visualization, annotation and learning,2013,2013-12-09 00:00:00,,international conference on multimodal interf,,4372B502,19308
76D9E272,Synchronising Physiological and Behavioural Sensors in a Driving Simulator,2014,2014-11-12 00:00:00,,international conference on multimodal interf,,4372B502,19494
8256AF83,An Context-aware Management and Control Mechanism in a Mobile Ad-Hoc Environment,2012,0000-00-00 00:00:00,,,,,19524
7CFFF727,Visualization and Representation of Mobile Network Users,2008,0000-00-00 00:00:00,10.1109/SAHCN.2008.79,sensor mesh and ad hoc communications and net,,43A23F32,19178
823F84CB,Mobile encounters: Pattern analysis and profile embedding for mobile social networking testbeds,2011,0000-00-00 00:00:00,,,,,19542
6CA3F89E,Glaze: A Visualization Framework for Mobile Devices,2009,2009-08-24 00:00:00,10.1007/978-3-642-03655-2_95,international conference on human-computer in,,43331058,19381
5E776DBE,Definition and Visualization of Dynamic Domains in Network Management Environments,2003,2003-02-12 00:00:00,10.1007/978-3-540-45235-5_81,international conference on information netwo,,43F6AF91,19191
